"Time stamp","DC inverter input power | (W)","AC inverter output power | (W)"
"Jan 1, 12:00 am",0,0
"Jan 1, 01:00 am",0,0
"Jan 1, 02:00 am",0,0
"Jan 1, 03:00 am",0,0
"Jan 1, 04:00 am",0,0
"Jan 1, 05:00 am",0,0
"Jan 1, 06:00 am",0,0
"Jan 1, 07:00 am",0,0
"Jan 1, 08:00 am",19071.3,18071.1
"Jan 1, 09:00 am",51600.9,50822.6
"Jan 1, 10:00 am",77570.6,76843.1
"Jan 1, 11:00 am",105476,104678
"Jan 1, 12:00 pm",114339,113491
"Jan 1, 01:00 pm",109600,108780
"Jan 1, 02:00 pm",99324.9,98553.6
"Jan 1, 03:00 pm",73274,72545.8
"Jan 1, 04:00 pm",38301.9,37454.1
"Jan 1, 05:00 pm",6205.54,5068.96
"Jan 1, 06:00 pm",0,0
"Jan 1, 07:00 pm",0,0
"Jan 1, 08:00 pm",0,0
"Jan 1, 09:00 pm",0,0
"Jan 1, 10:00 pm",0,0
"Jan 1, 11:00 pm",0,0
"Jan 2, 12:00 am",0,0
"Jan 2, 01:00 am",0,0
"Jan 2, 02:00 am",0,0
"Jan 2, 03:00 am",0,0
"Jan 2, 04:00 am",0,0
"Jan 2, 05:00 am",0,0
"Jan 2, 06:00 am",0,0
"Jan 2, 07:00 am",0,0
"Jan 2, 08:00 am",14938.4,13897.4
"Jan 2, 09:00 am",46025.6,45221.8
"Jan 2, 10:00 am",43856.2,43041.1
"Jan 2, 11:00 am",63316.8,62575.4
"Jan 2, 12:00 pm",45779.3,44974.2
"Jan 2, 01:00 pm",81700.5,80970.7
"Jan 2, 02:00 pm",24055,23100.2
"Jan 2, 03:00 pm",20645.6,19660.2
"Jan 2, 04:00 pm",36737.2,35879.3
"Jan 2, 05:00 pm",6127.21,4989.72
"Jan 2, 06:00 pm",0,0
"Jan 2, 07:00 pm",0,0
"Jan 2, 08:00 pm",0,0
"Jan 2, 09:00 pm",0,0
"Jan 2, 10:00 pm",0,0
"Jan 2, 11:00 pm",0,0
"Jan 3, 12:00 am",0,0
"Jan 3, 01:00 am",0,0
"Jan 3, 02:00 am",0,0
"Jan 3, 03:00 am",0,0
"Jan 3, 04:00 am",0,0
"Jan 3, 05:00 am",0,0
"Jan 3, 06:00 am",0,0
"Jan 3, 07:00 am",0,0
"Jan 3, 08:00 am",20075.2,19084.5
"Jan 3, 09:00 am",55299.6,54535.4
"Jan 3, 10:00 am",88592.8,87853
"Jan 3, 11:00 am",108637,107822
"Jan 3, 12:00 pm",116686,115823
"Jan 3, 01:00 pm",99480.5,98708.6
"Jan 3, 02:00 pm",94388,93633.5
"Jan 3, 03:00 pm",53497.7,52727
"Jan 3, 04:00 pm",21024.9,20043
"Jan 3, 05:00 pm",5417.79,4271.97
"Jan 3, 06:00 pm",0,0
"Jan 3, 07:00 pm",0,0
"Jan 3, 08:00 pm",0,0
"Jan 3, 09:00 pm",0,0
"Jan 3, 10:00 pm",0,0
"Jan 3, 11:00 pm",0,0
"Jan 4, 12:00 am",0,0
"Jan 4, 01:00 am",0,0
"Jan 4, 02:00 am",0,0
"Jan 4, 03:00 am",0,0
"Jan 4, 04:00 am",0,0
"Jan 4, 05:00 am",0,0
"Jan 4, 06:00 am",0,0
"Jan 4, 07:00 am",0,0
"Jan 4, 08:00 am",19743.8,18750
"Jan 4, 09:00 am",58022.9,57267.6
"Jan 4, 10:00 am",89801.1,89058.6
"Jan 4, 11:00 am",111205,110376
"Jan 4, 12:00 pm",120740,119848
"Jan 4, 01:00 pm",121289,120394
"Jan 4, 02:00 pm",107441,106633
"Jan 4, 03:00 pm",79130.2,78402.2
"Jan 4, 04:00 pm",48003.9,47209.8
"Jan 4, 05:00 pm",8306.35,7193.92
"Jan 4, 06:00 pm",0,0
"Jan 4, 07:00 pm",0,0
"Jan 4, 08:00 pm",0,0
"Jan 4, 09:00 pm",0,0
"Jan 4, 10:00 pm",0,0
"Jan 4, 11:00 pm",0,0
"Jan 5, 12:00 am",0,0
"Jan 5, 01:00 am",0,0
"Jan 5, 02:00 am",0,0
"Jan 5, 03:00 am",0,0
"Jan 5, 04:00 am",0,0
"Jan 5, 05:00 am",0,0
"Jan 5, 06:00 am",0,0
"Jan 5, 07:00 am",0,0
"Jan 5, 08:00 am",20069.6,19078.8
"Jan 5, 09:00 am",54648.4,53881.9
"Jan 5, 10:00 am",86564.3,85828.2
"Jan 5, 11:00 am",108474,107660
"Jan 5, 12:00 pm",118785,117907
"Jan 5, 01:00 pm",116544,115682
"Jan 5, 02:00 pm",106050,105249
"Jan 5, 03:00 pm",81310.1,80580.6
"Jan 5, 04:00 pm",43636.1,42819.8
"Jan 5, 05:00 pm",8287.45,7174.81
"Jan 5, 06:00 pm",0,0
"Jan 5, 07:00 pm",0,0
