"Time stamp","DC inverter input power | (W)","AC inverter output power | (W)"
"Jan 1, 12:00 am",0,0
"Jan 1, 01:00 am",0,0
"Jan 1, 02:00 am",0,0
"Jan 1, 03:00 am",0,0
"Jan 1, 04:00 am",0,0
"Jan 1, 05:00 am",0,0
"Jan 1, 06:00 am",0,0
"Jan 1, 07:00 am",0,0
"Jan 1, 08:00 am",45784.3,44095.2
"Jan 1, 09:00 am",124044,122732
"Jan 1, 10:00 am",171094,169735
"Jan 1, 11:00 am",228176,226484
"Jan 1, 12:00 pm",245244,243394
"Jan 1, 01:00 pm",233456,231718
"Jan 1, 02:00 pm",214873,213286
"Jan 1, 03:00 pm",164112,162773
"Jan 1, 04:00 pm",91582.4,90183.2
"Jan 1, 05:00 pm",16065,14083.7
"Jan 1, 06:00 pm",0,0
"Jan 1, 07:00 pm",0,0
"Jan 1, 08:00 pm",0,0
"Jan 1, 09:00 pm",0,0
"Jan 1, 10:00 pm",0,0
"Jan 1, 11:00 pm",0,0
"Jan 2, 12:00 am",0,0
"Jan 2, 01:00 am",0,0
"Jan 2, 02:00 am",0,0
"Jan 2, 03:00 am",0,0
"Jan 2, 04:00 am",0,0
"Jan 2, 05:00 am",0,0
"Jan 2, 06:00 am",0,0
"Jan 2, 07:00 am",0,0
"Jan 2, 08:00 am",30697,28869.8
"Jan 2, 09:00 am",100632,99267.3
"Jan 2, 10:00 am",83570.6,82134.7
"Jan 2, 11:00 am",124529,123218
"Jan 2, 12:00 pm",85690.5,84264.8
"Jan 2, 01:00 pm",165087,163746
"Jan 2, 02:00 pm",42482.9,40765.4
"Jan 2, 03:00 pm",36491.6,34720
"Jan 2, 04:00 pm",85405.9,83978.9
"Jan 2, 05:00 pm",15723.7,13738.6
"Jan 2, 06:00 pm",0,0
"Jan 2, 07:00 pm",0,0
"Jan 2, 08:00 pm",0,0
"Jan 2, 09:00 pm",0,0
"Jan 2, 10:00 pm",0,0
"Jan 2, 11:00 pm",0,0
"Jan 3, 12:00 am",0,0
"Jan 3, 01:00 am",0,0
"Jan 3, 02:00 am",0,0
"Jan 3, 03:00 am",0,0
"Jan 3, 04:00 am",0,0
"Jan 3, 05:00 am",0,0
"Jan 3, 06:00 am",0,0
"Jan 3, 07:00 am",0,0
"Jan 3, 08:00 am",51224.2,49579.8
"Jan 3, 09:00 am",138236,136932
"Jan 3, 10:00 am",202501,200997
"Jan 3, 11:00 am",235976,234216
"Jan 3, 12:00 pm",247444,245572
"Jan 3, 01:00 pm",207837,206299
"Jan 3, 02:00 pm",201159,199663
"Jan 3, 03:00 pm",110332,108995
"Jan 3, 04:00 pm",42281.8,40562.5
"Jan 3, 05:00 pm",13582.6,11573.2
"Jan 3, 06:00 pm",0,0
"Jan 3, 07:00 pm",0,0
"Jan 3, 08:00 pm",0,0
"Jan 3, 09:00 pm",0,0
"Jan 3, 10:00 pm",0,0
"Jan 3, 11:00 pm",0,0
"Jan 4, 12:00 am",0,0
"Jan 4, 01:00 am",0,0
"Jan 4, 02:00 am",0,0
"Jan 4, 03:00 am",0,0
"Jan 4, 04:00 am",0,0
"Jan 4, 05:00 am",0,0
"Jan 4, 06:00 am",0,0
"Jan 4, 07:00 am",0,0
"Jan 4, 08:00 am",48609.2,46943.7
"Jan 4, 09:00 am",146412,145104
"Jan 4, 10:00 am",205661,204137
"Jan 4, 11:00 am",241737,239923
"Jan 4, 12:00 pm",258273,256285
"Jan 4, 01:00 pm",259391,257390
"Jan 4, 02:00 pm",232393,230665
"Jan 4, 03:00 pm",177471,176090
"Jan 4, 04:00 pm",118038,116717
"Jan 4, 05:00 pm",21846.2,19928.1
"Jan 4, 06:00 pm",0,0
"Jan 4, 07:00 pm",0,0
"Jan 4, 08:00 pm",0,0
"Jan 4, 09:00 pm",0,0
"Jan 4, 10:00 pm",0,0
"Jan 4, 11:00 pm",0,0
"Jan 5, 12:00 am",0,0
"Jan 5, 01:00 am",0,0
"Jan 5, 02:00 am",0,0
"Jan 5, 03:00 am",0,0
"Jan 5, 04:00 am",0,0
"Jan 5, 05:00 am",0,0
"Jan 5, 06:00 am",0,0
"Jan 5, 07:00 am",0,0
"Jan 5, 08:00 am",50334.8,48683.2
"Jan 5, 09:00 am",135813,134509
"Jan 5, 10:00 am",196220,194752
"Jan 5, 11:00 am",235058,233307
"Jan 5, 12:00 pm",253432,251497
"Jan 5, 01:00 pm",248051,246173
"Jan 5, 02:00 pm",229464,227762
"Jan 5, 03:00 pm",182196,180796
"Jan 5, 04:00 pm",105333,103983
"Jan 5, 05:00 pm",21691,19771.3
"Jan 5, 06:00 pm",0,0
"Jan 5, 07:00 pm",0,0
"Jan 5, 08:00 pm",0,0
"Jan 5, 09:00 pm",0,0
"Jan 5, 10:00 pm",0,0
"Jan 5, 11:00 pm",0,0
