"Time stamp","DC inverter input power | (W)","AC inverter output power | (W)"
"Jan 1, 12:00 am",0,0
"Jan 1, 01:00 am",0,0
"Jan 1, 02:00 am",0,0
"Jan 1, 03:00 am",0,0
"Jan 1, 04:00 am",0,0
"Jan 1, 05:00 am",0,0
"Jan 1, 06:00 am",0,0
"Jan 1, 07:00 am",0,0
"Jan 1, 08:00 am",35058.9,34189.8
"Jan 1, 09:00 am",59696.5,58946.1
"Jan 1, 10:00 am",18838.1,17835.6
"Jan 1, 11:00 am",30851,29951.5
"Jan 1, 12:00 pm",67484.5,66750.6
"Jan 1, 01:00 pm",40678.7,39845.5
"Jan 1, 02:00 pm",31645.5,30752
"Jan 1, 03:00 pm",32550.7,31663.8
"Jan 1, 04:00 pm",4942.02,3790.56
"Jan 1, 05:00 pm",0,0
"Jan 1, 06:00 pm",0,0
"Jan 1, 07:00 pm",0,0
"Jan 1, 08:00 pm",0,0
"Jan 1, 09:00 pm",0,0
"Jan 1, 10:00 pm",0,0
"Jan 1, 11:00 pm",0,0
"Jan 2, 12:00 am",0,0
"Jan 2, 01:00 am",0,0
"Jan 2, 02:00 am",0,0
"Jan 2, 03:00 am",0,0
"Jan 2, 04:00 am",0,0
"Jan 2, 05:00 am",0,0
"Jan 2, 06:00 am",0,0
"Jan 2, 07:00 am",0,0
"Jan 2, 08:00 am",18249.2,17241.1
"Jan 2, 09:00 am",61690.2,60945
"Jan 2, 10:00 am",91940.3,91192.7
"Jan 2, 11:00 am",110276,109453
"Jan 2, 12:00 pm",112389,111553
"Jan 2, 01:00 pm",100134,99360
"Jan 2, 02:00 pm",84879.3,84145.9
"Jan 2, 03:00 pm",55837,55074.7
"Jan 2, 04:00 pm",9959.4,8865.46
"Jan 2, 05:00 pm",0,0
"Jan 2, 06:00 pm",0,0
"Jan 2, 07:00 pm",0,0
"Jan 2, 08:00 pm",0,0
"Jan 2, 09:00 pm",0,0
"Jan 2, 10:00 pm",0,0
"Jan 2, 11:00 pm",0,0
"Jan 3, 12:00 am",0,0
"Jan 3, 01:00 am",0,0
"Jan 3, 02:00 am",0,0
"Jan 3, 03:00 am",0,0
"Jan 3, 04:00 am",0,0
"Jan 3, 05:00 am",0,0
"Jan 3, 06:00 am",0,0
"Jan 3, 07:00 am",0,0
"Jan 3, 08:00 am",34243.1,33368.3
"Jan 3, 09:00 am",66233.7,65497.8
"Jan 3, 10:00 am",92407.8,91658.9
"Jan 3, 11:00 am",104918,104122
"Jan 3, 12:00 pm",107376,106569
"Jan 3, 01:00 pm",103596,102807
"Jan 3, 02:00 pm",84231.2,83498.7
"Jan 3, 03:00 pm",55206.9,54442.4
"Jan 3, 04:00 pm",10424.2,9335.42
"Jan 3, 05:00 pm",0,0
"Jan 3, 06:00 pm",0,0
"Jan 3, 07:00 pm",0,0
"Jan 3, 08:00 pm",0,0
"Jan 3, 09:00 pm",0,0
"Jan 3, 10:00 pm",0,0
"Jan 3, 11:00 pm",0,0
"Jan 4, 12:00 am",0,0
"Jan 4, 01:00 am",0,0
"Jan 4, 02:00 am",0,0
"Jan 4, 03:00 am",0,0
"Jan 4, 04:00 am",0,0
"Jan 4, 05:00 am",0,0
"Jan 4, 06:00 am",0,0
"Jan 4, 07:00 am",0,0
"Jan 4, 08:00 am",33600.9,32721.6
"Jan 4, 09:00 am",65183,64445.3
"Jan 4, 10:00 am",91515.1,90768.5
"Jan 4, 11:00 am",107404,106596
"Jan 4, 12:00 pm",109800,108980
"Jan 4, 01:00 pm",102634,101849
"Jan 4, 02:00 pm",83769.2,83037.2
"Jan 4, 03:00 pm",56636.9,55877.2
"Jan 4, 04:00 pm",10694.9,9609.01
"Jan 4, 05:00 pm",0,0
"Jan 4, 06:00 pm",0,0
"Jan 4, 07:00 pm",0,0
"Jan 4, 08:00 pm",0,0
"Jan 4, 09:00 pm",0,0
"Jan 4, 10:00 pm",0,0
"Jan 4, 11:00 pm",0,0
"Jan 5, 12:00 am",0,0
"Jan 5, 01:00 am",0,0
"Jan 5, 02:00 am",0,0
"Jan 5, 03:00 am",0,0
"Jan 5, 04:00 am",0,0
"Jan 5, 05:00 am",0,0
"Jan 5, 06:00 am",0,0
"Jan 5, 07:00 am",0,0
"Jan 5, 08:00 am",33644.5,32765.5
"Jan 5, 09:00 am",67681.3,66947.7
"Jan 5, 10:00 am",90422.6,89678.7
"Jan 5, 11:00 am",108073,107261
"Jan 5, 12:00 pm",110449,109625
"Jan 5, 01:00 pm",101073,100295
"Jan 5, 02:00 pm",81029,80299.7
"Jan 5, 03:00 pm",55770.1,55007.5
"Jan 5, 04:00 pm",10844.1,9759.9
"Jan 5, 05:00 pm",0,0
"Jan 5, 06:00 pm",0,0
"Jan 5, 07:00 pm",0,0
"Jan 5, 08:00 pm",0,0
