"Time stamp","DC inverter input power | (W)","AC inverter output power | (W)"
"Jan 1, 12:00 am",0,0
"Jan 1, 01:00 am",0,0
"Jan 1, 02:00 am",0,0
"Jan 1, 03:00 am",0,0
"Jan 1, 04:00 am",0,0
"Jan 1, 05:00 am",0,0
"Jan 1, 06:00 am",0,0
"Jan 1, 07:00 am",0,0
"Jan 1, 08:00 am",74406.9,73489
"Jan 1, 09:00 am",100676,99780.1
"Jan 1, 10:00 am",21419.9,20173.1
"Jan 1, 11:00 am",36342.8,35227.2
"Jan 1, 12:00 pm",97447,96553.3
"Jan 1, 01:00 pm",52113.7,51103.9
"Jan 1, 02:00 pm",39036.6,37941.4
"Jan 1, 03:00 pm",51841.7,50830.4
"Jan 1, 04:00 pm",9590.85,8218.74
"Jan 1, 05:00 pm",0,0
"Jan 1, 06:00 pm",0,0
"Jan 1, 07:00 pm",0,0
"Jan 1, 08:00 pm",0,0
"Jan 1, 09:00 pm",0,0
"Jan 1, 10:00 pm",0,0
"Jan 1, 11:00 pm",0,0
"Jan 2, 12:00 am",0,0
"Jan 2, 01:00 am",0,0
"Jan 2, 02:00 am",0,0
"Jan 2, 03:00 am",0,0
"Jan 2, 04:00 am",0,0
"Jan 2, 05:00 am",0,0
"Jan 2, 06:00 am",0,0
"Jan 2, 07:00 am",0,0
"Jan 2, 08:00 am",23567.3,22341.3
"Jan 2, 09:00 am",106388,105484
"Jan 2, 10:00 am",159623,158436
"Jan 2, 11:00 am",187433,185944
"Jan 2, 12:00 pm",188845,187338
"Jan 2, 01:00 pm",170020,168732
"Jan 2, 02:00 pm",151078,149962
"Jan 2, 03:00 pm",106862,105958
"Jan 2, 04:00 pm",21894.4,20652.3
"Jan 2, 05:00 pm",0,0
"Jan 2, 06:00 pm",0,0
"Jan 2, 07:00 pm",0,0
"Jan 2, 08:00 pm",0,0
"Jan 2, 09:00 pm",0,0
"Jan 2, 10:00 pm",0,0
"Jan 2, 11:00 pm",0,0
"Jan 3, 12:00 am",0,0
"Jan 3, 01:00 am",0,0
"Jan 3, 02:00 am",0,0
"Jan 3, 03:00 am",0,0
"Jan 3, 04:00 am",0,0
"Jan 3, 05:00 am",0,0
"Jan 3, 06:00 am",0,0
"Jan 3, 07:00 am",0,0
"Jan 3, 08:00 am",73617.3,72697.3
"Jan 3, 09:00 am",127104,126135
"Jan 3, 10:00 am",162194,160983
"Jan 3, 11:00 am",175659,174310
"Jan 3, 12:00 pm",179258,177869
"Jan 3, 01:00 pm",175672,174324
"Jan 3, 02:00 pm",149349,148246
"Jan 3, 03:00 pm",106750,105846
"Jan 3, 04:00 pm",23144.4,21914.3
"Jan 3, 05:00 pm",0,0
"Jan 3, 06:00 pm",0,0
"Jan 3, 07:00 pm",0,0
"Jan 3, 08:00 pm",0,0
"Jan 3, 09:00 pm",0,0
"Jan 3, 10:00 pm",0,0
"Jan 3, 11:00 pm",0,0
"Jan 4, 12:00 am",0,0
"Jan 4, 01:00 am",0,0
"Jan 4, 02:00 am",0,0
"Jan 4, 03:00 am",0,0
"Jan 4, 04:00 am",0,0
"Jan 4, 05:00 am",0,0
"Jan 4, 06:00 am",0,0
"Jan 4, 07:00 am",0,0
"Jan 4, 08:00 am",72516.5,71593.4
"Jan 4, 09:00 am",125009,124049
"Jan 4, 10:00 am",159738,158549
"Jan 4, 11:00 am",180722,179316
"Jan 4, 12:00 pm",184134,182686
"Jan 4, 01:00 pm",173819,172491
"Jan 4, 02:00 pm",148068,146975
"Jan 4, 03:00 pm",108264,107357
"Jan 4, 04:00 pm",23647.3,22422
"Jan 4, 05:00 pm",0,0
"Jan 4, 06:00 pm",0,0
"Jan 4, 07:00 pm",0,0
"Jan 4, 08:00 pm",0,0
"Jan 4, 09:00 pm",0,0
"Jan 4, 10:00 pm",0,0
"Jan 4, 11:00 pm",0,0
"Jan 5, 12:00 am",0,0
"Jan 5, 01:00 am",0,0
"Jan 5, 02:00 am",0,0
"Jan 5, 03:00 am",0,0
"Jan 5, 04:00 am",0,0
"Jan 5, 05:00 am",0,0
"Jan 5, 06:00 am",0,0
"Jan 5, 07:00 am",0,0
"Jan 5, 08:00 am",71263,70336.2
"Jan 5, 09:00 am",129200,128222
"Jan 5, 10:00 am",156310,155152
"Jan 5, 11:00 am",181473,180058
"Jan 5, 12:00 pm",184187,182739
"Jan 5, 01:00 pm",169468,168186
"Jan 5, 02:00 pm",140848,139805
"Jan 5, 03:00 pm",105181,104279
"Jan 5, 04:00 pm",23666.9,22441.8
"Jan 5, 05:00 pm",0,0
"Jan 5, 06:00 pm",0,0
"Jan 5, 07:00 pm",0,0
"Jan 5, 08:00 pm",0,0
"Jan 5, 09:00 pm",0,0
"Jan 5, 10:00 pm",0,0
"Jan 5, 11:00 pm",0,0
"Jan 6, 12:00 am",0,0
