"Time stamp","DC inverter input power | (W)","AC inverter output power | (W)"
"Jan 1, 12:00 am",0,0
"Jan 1, 01:00 am",0,0
"Jan 1, 02:00 am",0,0
"Jan 1, 03:00 am",0,0
"Jan 1, 04:00 am",0,0
"Jan 1, 05:00 am",0,0
"Jan 1, 06:00 am",0,0
"Jan 1, 07:00 am",0,0
"Jan 1, 08:00 am",0,0
"Jan 1, 09:00 am",14205.7,13157.2
"Jan 1, 10:00 am",35599.8,34734.4
"Jan 1, 11:00 am",52522.5,51747.9
"Jan 1, 12:00 pm",61457.1,60711.3
"Jan 1, 01:00 pm",63871.3,63131
"Jan 1, 02:00 pm",47754.6,46959.3
"Jan 1, 03:00 pm",16279.5,15252
"Jan 1, 04:00 pm",1551.08,358.385
"Jan 1, 05:00 pm",0,0
"Jan 1, 06:00 pm",0,0
"Jan 1, 07:00 pm",0,0
"Jan 1, 08:00 pm",0,0
"Jan 1, 09:00 pm",0,0
"Jan 1, 10:00 pm",0,0
"Jan 1, 11:00 pm",0,0
"Jan 2, 12:00 am",0,0
"Jan 2, 01:00 am",0,0
"Jan 2, 02:00 am",0,0
"Jan 2, 03:00 am",0,0
"Jan 2, 04:00 am",0,0
"Jan 2, 05:00 am",0,0
"Jan 2, 06:00 am",0,0
"Jan 2, 07:00 am",0,0
"Jan 2, 08:00 am",0,0
"Jan 2, 09:00 am",10760.7,9675.56
"Jan 2, 10:00 am",31928.6,31037.2
"Jan 2, 11:00 am",54826.1,54060.2
"Jan 2, 12:00 pm",60023.6,59274.1
"Jan 2, 01:00 pm",57369.7,56612.4
"Jan 2, 02:00 pm",47160.1,46361.9
"Jan 2, 03:00 pm",24108.9,23154.6
"Jan 2, 04:00 pm",2310.39,1127.09
"Jan 2, 05:00 pm",0,0
"Jan 2, 06:00 pm",0,0
"Jan 2, 07:00 pm",0,0
"Jan 2, 08:00 pm",0,0
"Jan 2, 09:00 pm",0,0
"Jan 2, 10:00 pm",0,0
"Jan 2, 11:00 pm",0,0
"Jan 3, 12:00 am",0,0
"Jan 3, 01:00 am",0,0
"Jan 3, 02:00 am",0,0
"Jan 3, 03:00 am",0,0
"Jan 3, 04:00 am",0,0
"Jan 3, 05:00 am",0,0
"Jan 3, 06:00 am",0,0
"Jan 3, 07:00 am",0,0
"Jan 3, 08:00 am",0,0
"Jan 3, 09:00 am",7270.54,6146.3
"Jan 3, 10:00 am",20666.7,19681.5
"Jan 3, 11:00 am",28490.6,27572.8
"Jan 3, 12:00 pm",46719.9,45919.5
"Jan 3, 01:00 pm",65413.6,64676.3
"Jan 3, 02:00 pm",51370.7,50591.5
"Jan 3, 03:00 pm",25120.3,24174.7
"Jan 3, 04:00 pm",868.922,0
"Jan 3, 05:00 pm",0,0
"Jan 3, 06:00 pm",0,0
"Jan 3, 07:00 pm",0,0
"Jan 3, 08:00 pm",0,0
"Jan 3, 09:00 pm",0,0
"Jan 3, 10:00 pm",0,0
"Jan 3, 11:00 pm",0,0
"Jan 4, 12:00 am",0,0
"Jan 4, 01:00 am",0,0
"Jan 4, 02:00 am",0,0
"Jan 4, 03:00 am",0,0
"Jan 4, 04:00 am",0,0
"Jan 4, 05:00 am",0,0
"Jan 4, 06:00 am",0,0
"Jan 4, 07:00 am",0,0
"Jan 4, 08:00 am",0,0
"Jan 4, 09:00 am",14597.1,13552.5
"Jan 4, 10:00 am",25756.7,24816.5
"Jan 4, 11:00 am",41999.3,41173.8
"Jan 4, 12:00 pm",39904.6,39066.8
"Jan 4, 01:00 pm",27457.1,26531
"Jan 4, 02:00 pm",26801,25869.5
"Jan 4, 03:00 pm",6531.25,5398.47
"Jan 4, 04:00 pm",1129.09,0
"Jan 4, 05:00 pm",0,0
"Jan 4, 06:00 pm",0,0
"Jan 4, 07:00 pm",0,0
"Jan 4, 08:00 pm",0,0
"Jan 4, 09:00 pm",0,0
"Jan 4, 10:00 pm",0,0
"Jan 4, 11:00 pm",0,0
"Jan 5, 12:00 am",0,0
"Jan 5, 01:00 am",0,0
"Jan 5, 02:00 am",0,0
"Jan 5, 03:00 am",0,0
"Jan 5, 04:00 am",0,0
"Jan 5, 05:00 am",0,0
"Jan 5, 06:00 am",0,0
"Jan 5, 07:00 am",0,0
"Jan 5, 08:00 am",0,0
"Jan 5, 09:00 am",12230.5,11161.2
"Jan 5, 10:00 am",18099.4,17089.8
"Jan 5, 11:00 am",22880.4,21915.3
"Jan 5, 12:00 pm",28796.7,27881.3
"Jan 5, 01:00 pm",29426.4,28515.9
"Jan 5, 02:00 pm",21177.8,20197.3
"Jan 5, 03:00 pm",13541.3,12485.8
"Jan 5, 04:00 pm",3764.98,2599.42
"Jan 5, 05:00 pm",0,0
"Jan 5, 06:00 pm",0,0
"Jan 5, 07:00 pm",0,0
"Jan 5, 08:00 pm",0,0
