"Time stamp","DC inverter input power | (W)","AC inverter output power | (W)"
"Jan 1, 12:00 am",0,0
"Jan 1, 01:00 am",0,0
"Jan 1, 02:00 am",0,0
"Jan 1, 03:00 am",0,0
"Jan 1, 04:00 am",0,0
"Jan 1, 05:00 am",0,0
"Jan 1, 06:00 am",0,0
"Jan 1, 07:00 am",0,0
"Jan 1, 08:00 am",0,0
"Jan 1, 09:00 am",46664.8,45128.5
"Jan 1, 10:00 am",123198,121985
"Jan 1, 11:00 am",177007,175671
"Jan 1, 12:00 pm",195859,194412
"Jan 1, 01:00 pm",207863,206326
"Jan 1, 02:00 pm",160152,158885
"Jan 1, 03:00 pm",43581.6,42020
"Jan 1, 04:00 pm",2382.02,391.654
"Jan 1, 05:00 pm",0,0
"Jan 1, 06:00 pm",0,0
"Jan 1, 07:00 pm",0,0
"Jan 1, 08:00 pm",0,0
"Jan 1, 09:00 pm",0,0
"Jan 1, 10:00 pm",0,0
"Jan 1, 11:00 pm",0,0
"Jan 2, 12:00 am",0,0
"Jan 2, 01:00 am",0,0
"Jan 2, 02:00 am",0,0
"Jan 2, 03:00 am",0,0
"Jan 2, 04:00 am",0,0
"Jan 2, 05:00 am",0,0
"Jan 2, 06:00 am",0,0
"Jan 2, 07:00 am",0,0
"Jan 2, 08:00 am",0,0
"Jan 2, 09:00 am",21895.6,20129.5
"Jan 2, 10:00 am",103085,101844
"Jan 2, 11:00 am",190558,189146
"Jan 2, 12:00 pm",190550,189137
"Jan 2, 01:00 pm",181991,180628
"Jan 2, 02:00 pm",151625,150383
"Jan 2, 03:00 pm",72421.3,71059.1
"Jan 2, 04:00 pm",4727.21,2765.8
"Jan 2, 05:00 pm",0,0
"Jan 2, 06:00 pm",0,0
"Jan 2, 07:00 pm",0,0
"Jan 2, 08:00 pm",0,0
"Jan 2, 09:00 pm",0,0
"Jan 2, 10:00 pm",0,0
"Jan 2, 11:00 pm",0,0
"Jan 3, 12:00 am",0,0
"Jan 3, 01:00 am",0,0
"Jan 3, 02:00 am",0,0
"Jan 3, 03:00 am",0,0
"Jan 3, 04:00 am",0,0
"Jan 3, 05:00 am",0,0
"Jan 3, 06:00 am",0,0
"Jan 3, 07:00 am",0,0
"Jan 3, 08:00 am",0,0
"Jan 3, 09:00 am",17296,15480.5
"Jan 3, 10:00 am",49304.4,47789
"Jan 3, 11:00 am",58033.6,56582.3
"Jan 3, 12:00 pm",124974,123761
"Jan 3, 01:00 pm",193004,191576
"Jan 3, 02:00 pm",153254,152008
"Jan 3, 03:00 pm",76475,75134.1
"Jan 3, 04:00 pm",1514.82,0
"Jan 3, 05:00 pm",0,0
"Jan 3, 06:00 pm",0,0
"Jan 3, 07:00 pm",0,0
"Jan 3, 08:00 pm",0,0
"Jan 3, 09:00 pm",0,0
"Jan 3, 10:00 pm",0,0
"Jan 3, 11:00 pm",0,0
"Jan 4, 12:00 am",0,0
"Jan 4, 01:00 am",0,0
"Jan 4, 02:00 am",0,0
"Jan 4, 03:00 am",0,0
"Jan 4, 04:00 am",0,0
"Jan 4, 05:00 am",0,0
"Jan 4, 06:00 am",0,0
"Jan 4, 07:00 am",0,0
"Jan 4, 08:00 am",0,0
"Jan 4, 09:00 am",34988.6,33351.6
"Jan 4, 10:00 am",61687.8,60261.1
"Jan 4, 11:00 am",91014,89736.2
"Jan 4, 12:00 pm",83488.9,82181.1
"Jan 4, 01:00 pm",48266.6,46743.1
"Jan 4, 02:00 pm",54151.4,52672.6
"Jan 4, 03:00 pm",10060.6,8163.06
"Jan 4, 04:00 pm",1776.46,0
"Jan 4, 05:00 pm",0,0
"Jan 4, 06:00 pm",0,0
"Jan 4, 07:00 pm",0,0
"Jan 4, 08:00 pm",0,0
"Jan 4, 09:00 pm",0,0
"Jan 4, 10:00 pm",0,0
"Jan 4, 11:00 pm",0,0
"Jan 5, 12:00 am",0,0
"Jan 5, 01:00 am",0,0
"Jan 5, 02:00 am",0,0
"Jan 5, 03:00 am",0,0
"Jan 5, 04:00 am",0,0
"Jan 5, 05:00 am",0,0
"Jan 5, 06:00 am",0,0
"Jan 5, 07:00 am",0,0
"Jan 5, 08:00 am",0,0
"Jan 5, 09:00 am",27036.6,25323.2
"Jan 5, 10:00 am",32481.3,30820.9
"Jan 5, 11:00 am",39017.6,37416.9
"Jan 5, 12:00 pm",49617.2,48104.2
"Jan 5, 01:00 pm",50830.4,49326.7
"Jan 5, 02:00 pm",35734.8,34104.7
"Jan 5, 03:00 pm",22429.7,20669.2
"Jan 5, 04:00 pm",5843.91,3896.1
"Jan 5, 05:00 pm",0,0
"Jan 5, 06:00 pm",0,0
"Jan 5, 07:00 pm",0,0
"Jan 5, 08:00 pm",0,0
"Jan 5, 09:00 pm",0,0
"Jan 5, 10:00 pm",0,0
"Jan 5, 11:00 pm",0,0
